signal_date,execution_date,next_execution_date,actual_exit_date,ticker,side,weight,entry_price,exit_price,asset_return,weighted_return
2019-12-31,2020-01-02,2020-02-03,2020-02-03,AMD,short,-0.5,49.099999999999646,48.01999999999966,-0.021995926680244193,0.010997963340122097
2020-01-31,2020-02-03,2020-03-02,2020-03-02,MSFT,long,0.5,165.19351196289062,164.13436889648438,-0.006411529447017172,-0.003205764723508586
2020-01-31,2020-02-03,2020-03-02,2020-03-02,AMD,short,-0.5,48.01999999999966,47.45999999999966,-0.011661807580175099,0.005830903790087549
2020-02-28,2020-03-02,2020-04-01,2020-04-01,AAPL,long,0.5,17.828258823209094,14.37477950363968,-0.19370816599732232,-0.09685408299866116
2020-02-28,2020-03-02,2020-04-01,2020-04-01,AMD,short,-0.5,47.45999999999966,43.6599999999997,-0.0800674252001683,0.04003371260008415
2020-03-31,2020-04-01,2020-05-01,2020-05-01,AAPL,long,0.5,14.37477950363968,17.248303415707113,0.1999003818695,0.09995019093475
2020-03-31,2020-04-01,2020-05-01,2020-05-01,AMD,short,-0.5,43.6599999999997,49.87999999999966,0.14246449839670183,-0.07123224919835092
2020-04-30,2020-05-01,2020-06-01,2020-06-01,AAPL,long,0.5,17.248303415707113,19.406069107268216,0.12510017011853702,0.06255008505926851
2020-04-30,2020-05-01,2020-06-01,2020-06-01,AMD,short,-0.5,49.87999999999966,53.62999999999964,0.07518043303929445,-0.037590216519647224
2020-05-29,2020-06-01,2020-07-01,2020-07-01,AAPL,long,0.5,19.406069107268216,21.955437121981426,0.13136962465821522,0.06568481232910761
2020-05-29,2020-06-01,2020-07-01,2020-07-01,AMD,short,-0.5,53.62999999999964,52.57999999999964,-0.019578594070483013,0.009789297035241507
2020-06-30,2020-07-01,2020-08-03,2020-08-03,MSFT,long,0.5,194.9874267578125,206.26565551757812,0.05784080003155245,0.028920400015776226
2020-06-30,2020-07-01,2020-08-03,2020-08-03,AMD,short,-0.5,52.57999999999964,77.66999999999948,0.4771776340813998,-0.2385888170406999
2020-07-31,2020-08-03,2020-09-01,2020-09-01,ADBE,long,0.5,447.97000000000367,527.9500000000044,0.17853874143357817,0.08926937071678909
2020-07-31,2020-08-03,2020-09-01,2020-09-01,AMD,short,-0.5,77.66999999999948,92.17999999999935,0.18681601647997903,-0.09340800823998952
2020-08-31,2020-09-01,2020-10-01,2020-10-01,ADBE,long,0.5,527.9500000000044,499.5100000000042,-0.05386873756984545,-0.026934368784922724
2020-08-31,2020-09-01,2020-10-01,2020-10-01,AMD,short,-0.5,92.17999999999935,84.8599999999994,-0.07940985029290526,0.03970492514645263
2020-09-30,2020-10-01,2020-11-02,2020-11-02,ADBE,long,0.5,499.5100000000042,444.9400000000039,-0.10924706212087809,-0.054623531060439046
2020-09-30,2020-10-01,2020-11-02,2020-11-02,AMD,short,-0.5,84.8599999999994,74.6999999999995,-0.11972660853169892,0.05986330426584946
2020-10-30,2020-11-02,2020-12-01,2020-12-01,ADBE,long,0.5,444.9400000000039,479.1500000000042,0.07688677125005605,0.038443385625028026
2020-10-30,2020-11-02,2020-12-01,2020-12-01,AAPL,short,-0.5,105.71096111486904,119.47463182442227,0.1302009797697059,-0.06510048988485295
2020-11-30,2020-12-01,2021-01-04,2021-01-04,MSFT,long,0.5,206.9896697998047,208.40650939941406,0.006844977341041725,0.0034224886705208624
2020-11-30,2020-12-01,2021-01-04,2021-01-04,AAPL,short,-0.5,119.47463182442227,125.98771271511156,0.05451434159061308,-0.02725717079530654
2020-12-31,2021-01-04,2021-02-01,2021-02-01,MSFT,long,0.5,208.40650939941406,229.43002319335938,0.10087743350498446,0.05043871675249223
2020-12-31,2021-01-04,2021-02-01,2021-02-01,AAPL,short,-0.5,125.98771271511156,130.59262640912647,0.03655049841588709,-0.018275249207943545
2021-01-29,2021-02-01,2021-03-01,2021-03-01,MSFT,long,0.5,229.43002319335938,227.35804748535156,-0.009030970224248258,-0.004515485112124129
2021-01-29,2021-02-01,2021-03-01,2021-03-01,AAPL,short,-0.5,130.59262640912647,124.59704258696766,-0.045910584594382575,0.022955292297191288
2021-02-26,2021-03-01,2021-04-01,2021-04-01,AMD,long,0.5,86.38999999999952,81.08999999999956,-0.06134969325153361,-0.030674846625766805
2021-02-26,2021-03-01,2021-04-01,2021-04-01,NVDA,short,-0.5,13.802186965942383,13.777023315429688,-0.0018231640083407052,0.0009115820041703526
2021-03-31,2021-04-01,2021-05-03,2021-05-03,AMD,long,0.5,81.08999999999956,78.54999999999956,-0.031323221112344535,-0.015661610556172267
2021-03-31,2021-04-01,2021-05-03,2021-05-03,NVDA,short,-0.5,13.777023315429688,14.79945182800293,0.0742125849078128,-0.0371062924539064
2021-04-30,2021-05-03,2021-06-01,2021-06-01,AMD,long,0.5,78.54999999999956,80.80999999999958,0.028771483131763587,0.014385741565881793
2021-04-30,2021-05-03,2021-06-01,2021-06-01,NVDA,short,-0.5,14.79945182800293,16.223608016967773,0.09623033376615431,-0.048115166883077154
2021-05-28,2021-06-01,2021-07-01,2021-07-01,AMD,long,0.5,80.80999999999958,93.3099999999995,0.15468382625912636,0.07734191312956318
2021-05-28,2021-06-01,2021-07-01,2021-07-01,NVDA,short,-0.5,16.223608016967773,20.16580581665039,0.242991435416807,-0.1214957177084035
2021-06-30,2021-07-01,2021-08-02,2021-08-02,AMD,long,0.5,93.3099999999995,108.62999999999944,0.16418390311863695,0.08209195155931848
2021-06-30,2021-07-01,2021-08-02,2021-08-02,NVDA,short,-0.5,20.16580581665039,19.70486831665039,-0.022857380666604254,0.011428690333302127
2021-07-30,2021-08-02,2021-09-01,2021-09-01,AMD,long,0.5,108.62999999999944,109.9899999999995,0.012519561815337088,0.006259780907668544
2021-07-30,2021-08-02,2021-09-01,2021-09-01,NVDA,short,-0.5,19.70486831665039,22.393657684326172,0.13645304929055446,-0.06822652464527723
2021-08-31,2021-09-01,2021-10-01,2021-10-01,AMD,long,0.5,109.9899999999995,102.4499999999996,-0.06855168651695542,-0.03427584325847771
2021-08-31,2021-09-01,2021-10-01,2021-10-01,NVDA,short,-0.5,22.393657684326172,20.698244094848633,-0.07570954300441046,0.03785477150220523
2021-09-30,2021-10-01,2021-11-01,2021-11-01,AMD,long,0.5,102.4499999999996,125.22999999999948,0.2223523670082963,0.11117618350414815
2021-09-30,2021-10-01,2021-11-01,2021-11-01,NVDA,short,-0.5,20.698244094848633,25.772518157958984,0.24515480829474012,-0.12257740414737006
2021-10-29,2021-11-01,2021-12-01,2021-12-01,AMD,long,0.5,125.22999999999948,149.10999999999942,0.19068913199712556,0.09534456599856278
2021-10-29,2021-11-01,2021-12-01,2021-12-01,NVDA,short,-0.5,25.772518157958984,31.372528076171875,0.21728609846700264,-0.10864304923350132
2021-11-30,2021-12-01,2022-01-03,2021-12-31,AMD,long,0.5,149.10999999999942,143.8999999999995,-0.034940647843873296,-0.017470323921936648
2021-11-30,2021-12-01,2022-01-03,2021-12-31,NVDA,short,-0.5,31.372528076171875,29.352550506591797,-0.06438682801320994,0.03219341400660497
