signal_date,ticker,adj_close_t,market_cap,book_equity,ttm_net_income,pb,ep,size_signal,pb_signal,ep_signal,rank_size,rank_pb,rank_ep,ff3_score,side,execution_date,adj_close_e
2018-01-31,PNRG,49.95000076293945,107012682.0,74320000.0,18501000.0,1.4398907696447794,0.17288605101963522,-107012682.0,-1.4398907696447794,0.17288605101963522,33.0,84.0,15.0,132.0,long,2018-02-01,49.95000076293945
2018-01-31,SGA,21.230426788330078,231343200.0,171555000.0,44825000.0,1.3485074757366442,0.1937597474228765,-231343200.0,-1.3485074757366442,0.1937597474228765,54.0,70.0,9.0,133.0,long,2018-02-01,21.39126205444336
2018-01-31,OFG,9.509597778320312,501087000.0,937630000.0,51129000.0,0.5344186939411069,0.10203617335911729,-501087000.0,-0.5344186939411069,0.10203617335911729,97.0,9.0,29.0,135.0,long,2018-02-01,9.467888832092285
2018-01-31,PNBK,17.76174545288086,69624157.0,66310000.0,4592000.0,1.0499797466445484,0.0659541199184645,-69624157.0,-1.0499797466445484,0.0659541199184645,22.0,37.0,79.0,138.0,long,2018-02-01,17.76174545288086
2018-01-31,BRN,2.3335547500418445,19865184.0,17252000.0,1171000.0,1.1514713656387665,0.058947352312467886,-19865184.0,-1.1514713656387665,0.058947352312467886,4.0,46.0,99.0,149.0,long,2018-02-01,2.3530010396255263
2018-01-31,PFSI,20.085817337036133,529070400.0,469411000.0,100757000.0,1.1270941669453847,0.1904415745050186,-529070400.0,-1.1270941669453847,0.1904415745050186,100.0,42.0,10.0,152.0,long,2018-02-01,20.58343505859375
2018-01-31,PDEX,6.75,29450250.0,16275000.0,5426000.0,1.8095391705069124,0.1842429181416117,-29450250.0,-1.8095391705069124,0.1842429181416117,8.0,134.0,12.0,154.0,long,2018-02-01,6.650000095367432
2018-01-31,GNW,3.059999999999968,1528776000.0,13069000000.0,342000000.0,0.11697727446629429,0.22370837846747987,-1528776000.0,-0.11697727446629429,0.22370837846747987,169.0,3.0,7.0,179.0,long,2018-02-01,3.0899999999999674
2018-01-31,CIVB,17.86023991754313,226019532.0,181981000.0,15522000.0,1.2419952192811337,0.06867548066598067,-226019532.0,-1.2419952192811337,0.06867548066598067,53.0,54.0,73.0,180.0,long,2018-02-01,18.376758378782515
2018-01-31,HWBK,10.99114550927408,122491911.0,96072000.0,7773000.0,1.2750011553834624,0.06345725147516068,-122491911.0,-1.2750011553834624,0.06345725147516068,37.0,60.0,87.0,184.0,long,2018-02-01,10.92533026670358
2018-01-31,LCNB,13.12397289276123,195401914.0,149713000.0,13003000.0,1.3051766646850975,0.06654489576801177,-195401914.0,-1.3051766646850975,0.06654489576801177,46.0,61.0,77.0,184.0,long,2018-02-01,13.191278457641602
2018-01-31,NMFC,5.386443138122559,1009936736.0,1032083000.0,116376000.0,0.9785421676357424,0.11523098017101935,-1009936736.0,-0.9785421676357424,0.11523098017101935,135.0,32.0,23.0,190.0,long,2018-02-01,5.426943778991699
2018-01-31,BNED,66499.99999999919,316696940.0,729844000.0,17600000.0,0.4339241536547536,0.05557363452896008,-316696940.0,-0.4339241536547536,0.05557363452896008,67.0,5.0,119.0,191.0,long,2018-02-01,67099.99999999919
2018-01-31,VLGEA,17.263490676879883,329025240.0,287413000.0,21828000.0,1.1447820383907479,0.06634141502335808,-329025240.0,-1.1447820383907479,0.06634141502335808,69.0,44.0,78.0,191.0,long,2018-02-01,17.12380027770996
2018-01-31,FLXS,34.54791301936044,338307240.0,239795000.0,26046000.0,1.4108185741987949,0.07698918888049809,-338307240.0,-1.4108185741987949,0.07698918888049809,71.0,78.0,60.0,209.0,long,2018-02-01,35.22956868478422
2018-01-31,BOJA,12.249999999999988,450016000.0,285104000.0,72007000.0,1.5784275211852516,0.16000986631586434,-450016000.0,-1.5784275211852516,0.16000986631586434,89.0,105.0,16.0,210.0,long,2018-02-01,12.099999999999987
